Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Address data races in gossip/comm/conn,FAB-14510,38246,31531,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,hagarm,hagarm,hagarm,06/Mar/19 10:41 PM,14/Mar/19 2:12 AM,28/Oct/23 3:05 AM,14/Mar/19 2:12 AM,,,,,,,,,,fabric-gossip,,,,,0,,,,,"==================
WARNING: DATA RACE
Write at 0x00c0004cecd0 by goroutine 1172:
 github.com/hyperledger/fabric/vendor/google.golang.org/grpc.(*clientStream).CloseSend()
 /Users/hagarmei/golang/src/github.com/hyperledger/fabric/vendor/google.golang.org/grpc/stream.go:751 +0x5e
 github.com/hyperledger/fabric/protos/gossip.(*gossipGossipStreamClient).CloseSend()
 <autogenerated>:1 +0x62
 github.com/hyperledger/fabric/gossip/comm.(*connection).close()
 /Users/hagarmei/golang/src/github.com/hyperledger/fabric/gossip/comm/conn.go:256 +0x2b2
 github.com/hyperledger/fabric/gossip/comm.(*connectionStore).closeByPKIid()
 /Users/hagarmei/golang/src/github.com/hyperledger/fabric/gossip/comm/conn.go:194 +0x19b
 github.com/hyperledger/fabric/gossip/comm.(*connectionStore).shutdown.func1()
 /Users/hagarmei/golang/src/github.com/hyperledger/fabric/gossip/comm/conn.go:161 +0x88

Previous read at 0x00c0004cecd0 by goroutine 680:
 github.com/hyperledger/fabric/vendor/google.golang.org/grpc.(*clientStream).SendMsg()
 /Users/hagarmei/golang/src/github.com/hyperledger/fabric/vendor/google.golang.org/grpc/stream.go:668 +0xf8
 github.com/hyperledger/fabric/protos/gossip.(*gossipGossipStreamClient).Send()
 /Users/hagarmei/golang/src/github.com/hyperledger/fabric/protos/gossip/message.pb.go:2725 +0x6a
 github.com/hyperledger/fabric/gossip/comm.(*connection).writeToStream()
 /Users/hagarmei/golang/src/github.com/hyperledger/fabric/gossip/comm/conn.go:332 +0x2d6

Goroutine 1172 (running) created at:
 github.com/hyperledger/fabric/gossip/comm.(*connectionStore).shutdown()
 /Users/hagarmei/golang/src/github.com/hyperledger/fabric/gossip/comm/conn.go:160 +0x36a
 github.com/hyperledger/fabric/gossip/comm.(*commImpl).Stop()
 /Users/hagarmei/golang/src/github.com/hyperledger/fabric/gossip/comm/comm_impl.go:375 +0x206
 github.com/hyperledger/fabric/gossip/comm.(*commGRPC).Stop()
 /Users/hagarmei/golang/src/github.com/hyperledger/fabric/gossip/comm/comm_test.go:152 +0x4b
 github.com/hyperledger/fabric/gossip/comm.TestMetrics()
 /Users/hagarmei/golang/src/github.com/hyperledger/fabric/gossip/comm/metrics_test.go:87 +0x7bd
 testing.tRunner()
 /usr/local/go/src/testing/testing.go:827 +0x162

Goroutine 680 (running) created at:
 github.com/hyperledger/fabric/gossip/comm.(*connection).serviceConnection()
 /Users/hagarmei/golang/src/github.com/hyperledger/fabric/gossip/comm/conn.go:306 +0x13b
==================
--- FAIL: TestMetrics (0.43s)",,hagarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00euv:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hagarm,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"06/Mar/19 10:46 PM;hagarm;https://gerrit.hyperledger.org/r/#/c/29885/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handle couchdb crash during block commit (with postorder transactions),FAB-14511,38250,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,manish-sethi,manish-sethi,manish-sethi,07/Mar/19 12:35 AM,02/Apr/19 3:49 AM,28/Oct/23 3:05 AM,02/Apr/19 3:49 AM,,,,,,v2.0.0,,,,fabric-ledger,,,,,0,,,,,"With the introduction of tokens that are implemented as post order transactions, there is a problem with couch database. Couchdb does not offer batch level commit atomicity. During a block commit, while updating state, a couchdb crash may take place. However, part of the state updates may have gone in. Upon restart, when a post order transaction executes, it is sort of running against the wrong world state and would lead to a different (and wrong) results.

With the endorser transactions, we manage the statedb recovery during start with just the validation flag since writes were already part of the transaction present in the block. However, with the presence of post order transactions, the writes are generated during commit based on the world state managed in the statedb.

In order to recover the statedb in this case, we need to persists writes on a stable storage before applying to couchdb (sort of redo logs).",,manish-sethi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00evb:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),manish-sethi,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persist and use redorecord for update batch,FAB-14512,38251,38250,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,manish-sethi,manish-sethi,manish-sethi,07/Mar/19 12:42 AM,09/Mar/19 2:44 AM,28/Oct/23 3:05 AM,09/Mar/19 2:44 AM,,,,,,v2.0.0,,,,fabric-ledger,,,,,0,,,,,,,manish-sethi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00evj:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),manish-sethi,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"07/Mar/19 12:48 AM;manish-sethi;https://gerrit.hyperledger.org/r/#/c/29891/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabric performance improvements - v2.x,FAB-14513,38252,,Epic,In Progress,FAB,Fabric,software,denyeart,,,Medium,,,denyeart,denyeart,07/Mar/19 12:43 AM,02/Sep/20 12:49 AM,28/Oct/23 3:05 AM,,,,,,,v2.0.0,,,,,,,,,4,performance,,,,"Epic to serve as an umbrella for various v2.x performance improvements.

Various performance studies have been undertaken with Fabric v1.x:
 [https://arxiv.org/abs/1801.10228]
 [https://arxiv.org/abs/1805.11390] 
 [https://arxiv.org/abs/1901.00910]
  
 Some of the improvements have already been made in the v1.x epic, next set of improvements will be made for v2.x.",,baohua,denyeart,Hangyu_FJH,knagware9,logannwu,robmurgai,xixuejia,ymlbright,yoheiueda,,,,,,,,,,,,,,,,,,,,,,,,,FAB-6421,FAB-12221,,,FAB-12279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State database cache merged (CouchDB),See performance studies in description.,Available,Unset,Not Required,ghx-label-13,,Fabric performance improvements - v2.x,To Do,No,,Required,No,,,"1|i00evr:",,,,No,Not Required,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,denyeart,Hangyu_FJH,knagware9,logannwu,robmurgai,xixuejia,ymlbright,yoheiueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimize and persist redo record only if updates contain post order generated writes,FAB-14514,38253,38250,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,manish-sethi,manish-sethi,manish-sethi,07/Mar/19 12:44 AM,02/Apr/19 3:49 AM,28/Oct/23 3:05 AM,02/Apr/19 3:49 AM,,,,,,v2.0.0,,,,fabric-ledger,,,,,0,,,,,,,manish-sethi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00evz:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),manish-sethi,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"12/Mar/19 10:18 AM;manish-sethi;https://gerrit.hyperledger.org/r/#/c/29891/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encapsulate Fabric GO SDK,FAB-14515,38255,36696,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,bpbuch,bpbuch,bpbuch,07/Mar/19 2:01 AM,04/Apr/19 11:32 PM,28/Oct/23 3:05 AM,04/Apr/19 11:32 PM,,,,,,,,,,,,,,,0,,,,,The Fabric GO SDK should be encapsulated to provide a common package for commands to initialize clients.  This will also serve as an entry point for a future daemon implementation.,,bpbuch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ewf:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),bpbuch,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"02/Apr/19 3:37 AM;bpbuch;https://gerrit.hyperledger.org/r/#/c/30555/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use a common terminal utility,FAB-14516,38256,38927,Sub-task,To Do,FAB,Fabric,software,denyeart,,,Low,,,bpbuch,bpbuch,07/Mar/19 2:14 AM,02/Apr/19 5:52 AM,28/Oct/23 3:05 AM,,,,,,,,,,,,,,,,0,,,,,"Commands will receive data or write data using the terminal.  A utility that defines common UI/UX should be implemented to improve ease of use.  

Common display options:
* Text
* Table
* Lists
* Nested Lists
* Loading indicator",,bpbuch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ewn:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),bpbuch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peer CLI: Add ability to supply channel config policy reference,FAB-14517,38257,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,wlahti,wlahti,wlahti,07/Mar/19 3:34 AM,30/Mar/19 5:44 AM,28/Oct/23 3:05 AM,30/Mar/19 5:44 AM,,,,,,,,,,fabric-peer,,,,,0,,,,,"The CLI currently only supports signature policies when it should support both signature policies and channel config policy references. 

 

Create new flags ""signature-policy"" and ""channel-config-policy"" (and remove the old, generic ""policy"" flag). ",,wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11237,,,No,,Unset,No,,,"1|i00ewv:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),wlahti,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"07/Mar/19 4:46 AM;wlahti;https://gerrit.hyperledger.org/r/c/29901/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleanup init functions for lifecycle,FAB-14518,38259,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,jyellick,jyellick,jyellick,07/Mar/19 6:51 AM,08/Mar/19 3:10 AM,28/Oct/23 3:05 AM,08/Mar/19 3:10 AM,,,,,,v2.0.0,,,,fabric-peer,,,,,0,,,,,,,jyellick,,,,,,,,,,,,,,,,,,,,,,,,FAB-14438,FAB-9168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11237,,,No,,Unset,No,,,"1|i00exb:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),jyellick,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop hard-coding peers for commit and init steps,FAB-14519,38260,36525,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,wlahti,wlahti,wlahti,07/Mar/19 7:37 AM,08/Mar/19 3:24 AM,28/Oct/23 3:05 AM,08/Mar/19 3:24 AM,,,,,,,,,,fabric-peer,,,,,0,,,,,,,wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00exj:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),wlahti,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"07/Mar/19 11:57 AM;wlahti;https://gerrit.hyperledger.org/r/c/29915/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestPluginLoadingFailure observed in unit-tests,FAB-14520,38261,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Invalid: Works as Expected,,sambhavdutt,sambhavdutt,07/Mar/19 9:58 AM,19/Mar/19 8:12 PM,28/Oct/23 3:05 AM,14/Mar/19 5:09 AM,v2.0.0,,,,,,,,,fabric-common,,,,,0,ci-failure,,,,"The unit-tests are failing intermittently with TestPluginLoadingFailure, panic error observed as could not load msp config

*Intermittent:* Yes
*Branch:* master
*Platform:* x86_64
*Error Snippet:*

{code:java}
16:24:42 --- FAIL: TestPluginLoadingFailure (14.25s)
16:24:42     <autogenerated>:1: 
16:24:42         Got stuck at:
16:24:42             panic: Could not load msp config, err Error obtaining DevConfigDir: 
16:24:42             
16:24:42             goroutine 1 [running]:
16:24:42             github.com/hyperledger/fabric/common/ledger/testutil.init.0()
16:24:42             	/w/workspace/fabric-verify-unit-tests-x86_64/gopath/src/github.com/hyperledger/fabric/common/ledger/testutil/test_helper.go:35 +0x15b
16:24:42             
16:24:42         Waiting for:
16:24:42             panic: Error opening plugin at path testdata/invalid_plugins/invalidplugin.so
16:24:42     --- FAIL: TestPluginLoadingFailure/ENDORSERS_ESCC (0.12s)
16:24:42         testing.go:782: test executed panic(nil) or runtime.Goexit: subtest may have called FailNow on a parent test
16:24:42 FAIL
16:24:42 coverage: 0.0% of statements
16:24:42 FAIL	github.com/hyperledger/fabric/peer	14.790s
{code}

*Build Log*

https://logs.hyperledger.org/production/vex-yul-hyp-jenkins-3/fabric-verify-unit-tests-x86_64/10123/",,aambati,C0rWin,denyeart,sambhavdutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,da323fd773a17cc6774e9179d394438641ce7a96,Unset,No,,,"1|i00exr:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),aambati,C0rWin,denyeart,sambhavdutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get protos in sync,FAB-14521,38263,38259,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,jyellick,jyellick,jyellick,07/Mar/19 11:53 AM,08/Mar/19 3:10 AM,28/Oct/23 3:05 AM,08/Mar/19 3:10 AM,,,,,,,,,,,,,,,0,,,,,,,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ey7:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),jyellick,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update SoftHSM version for macOS,FAB-14523,38267,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,mastersingh24,mastersingh24,mastersingh24,07/Mar/19 6:27 PM,16/Mar/19 12:47 AM,28/Oct/23 3:05 AM,16/Mar/19 12:47 AM,,,,,,v2.0.0,,,,,,,,,0,,,,,"The FindPKCS11Lib() function currently looks for softhsm 2.1.0 on macOS.
This is no longer available.  Current version is 2.5.0",,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00eyv:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"07/Mar/19 6:34 PM;mastersingh24;https://gerrit.hyperledger.org/r/29922;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integration test for Rollback from a misconfigured etcd/raft cluster ,FAB-14526,38270,35195,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,tock,tock,tock,07/Mar/19 8:10 PM,04/Apr/19 4:44 PM,28/Oct/23 3:05 AM,04/Apr/19 4:39 PM,,,,,,,,,,,,,,,0,,,,,,,tock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ezj:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),tock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/Apr/19 4:44 PM;tock;Switching to alternative  migration design - v2;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
release chores for fabric-chaincode-node v1.4.x,FAB-14528,38272,,Epic,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,mbwhite,mbwhite,07/Mar/19 8:21 PM,30/Aug/19 1:29 AM,28/Oct/23 3:05 AM,30/Aug/19 1:29 AM,,,,,,,,,,,,,,,0,,,,,"Updates, changes, and fixes that are 'chores'

Items needed to maintain the infrastructure and quality of the code.

Items do not affect the function, rather our ability to delivery quality function",,mbwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-5,,fabric-chaincode-node release chores (v1.4x),To Do,No,,Unset,No,,,"1|i00ezz:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production compilation optimization,FAB-14530,38274,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,Tecnalia,Tecnalia,07/Mar/19 8:58 PM,23/Jan/20 7:32 AM,28/Oct/23 3:05 AM,23/Jan/20 7:32 AM,v1.4.0,,,,,,,,,fabric-build,fabric-ca,,,,0,stale-item,,,,"Since, we are at v1.4, and this was introduced as 'production' release (or at least closer than previous releases) we have to compile our Fabric binaries for production too. This involves that, when compiling with GO, we must take into account the following details:
 * Compile binaries without DWARF debugging information. We can *use the [{{-s}} and {{-w}} linker flags|https://golang.org/cmd/link/]* to strip the debugging info
 * We may also want to use UPX style packers too

Check out this post for better understanding: [https://blog.filippo.io/shrink-your-go-binaries-with-this-one-weird-trick/]

 ",,sykesm,Tecnalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00f0f:",,,,No,Unset,,,,(Please add steps to reproduce),,No,,,,,,Unset,,Unset,,(Please add usage information),sykesm,Tecnalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/Jan/20 7:32 AM;sykesm;Stale;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
