Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels_2,Labels_3,Description,Environment,Watchers,Watchers_2,Watchers_3,Log Work,Log Work_2,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks)_2,Inward issue link (Blocks)_3,Outward issue link (Blocks),Outward issue link (Blocks)_2,Outward issue link (Blocks)_3,Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split)_2,Outward issue link (Issue split)_3,Outward issue link (Issue split)_4,Outward issue link (Issue split)_5,Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment_2,Attachment_3,Attachment_4,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint_2,Sprint_3,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team)_2,Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers)_2,Custom field (Watchers)_3,Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch)_2,Custom field (gitBranch)_3,Custom field (gitBranch)_4,Custom field (gitBranch)_5,Custom field (gitBranch)_6,Custom field (gitBranch)_7,Custom field (gitBranch)_8,Custom field (gitBranch)_9,Custom field (gitBranch)_10,Custom field (gitBranch)_11,Custom field (gitBranch)_12,Custom field (gitBranch)_13,Custom field (gitBranch)_14,Custom field (gitBranch)_15,Custom field (gitBranch)_16,Custom field (gitCommitsReferenced),Comment,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7
Fix failing torii_fuzzing component ,IR-83,35954,,Bug,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Kitsu,lebdron,neewy,12/7/18 16:46,8/26/19 18:23,1/18/23 07:00,12/27/18 06:01,,1.0 rc5,,0,fuzzing,,,,,,,,,,,,,,,,,,,,,,,,,,,IR-84,IR-85,IR-86,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0h3,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix failing status_fuzzing component ,IR-84,35955,,Bug,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Kitsu,lebdron,neewy,12/7/18 16:50,8/26/19 18:23,1/18/23 07:00,12/27/18 06:01,,1.0 rc5,,0,fuzzing,,,,,,,,,,,,,,,,,,,,,,,,,,IR-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzzhz:0h4,,,,,,Iroha Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/Dec/18 9:30 PM;Kitsu;https://github.com/hyperledger/iroha/pull/1979;;;,,,,,,
Fix failing ordering_gate_fuzz component ,IR-85,35956,,Bug,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Kitsu,lebdron,neewy,12/7/18 16:50,8/26/19 18:23,1/18/23 07:00,12/22/18 06:05,,1.0 rc5,,0,fuzzing,,,,,,,,,,,,,,,,,,,,,,,,,,IR-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzzhz:0h6,,,,,,Iroha Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/Dec/18 10:32 PM;Kitsu;https://github.com/hyperledger/iroha/pull/1981;;;,,,,,,
Fix failing send_batches_fuzz component ,IR-86,35957,,Bug,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,neewy,12/7/18 16:50,3/27/20 18:01,1/18/23 07:00,12/25/18 20:27,,1.0 rc5,,0,fuzzing,,,,,,,,,,,,,,,,,,,,,,,,,,IR-83,IR-87,IR-88,IR-89,IR-90,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzzhz:0h8,,,,,,Iroha Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix failing request_proposal_fuzz component ,IR-87,35958,,Bug,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Kitsu,lebdron,neewy,12/7/18 16:53,8/26/19 18:23,1/18/23 07:00,12/22/18 06:05,,1.0 rc5,,0,fuzzing,,,,,,,,,,,,,,,,,,,,,,,,,,IR-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzzhz:0ha,,,,,,Iroha Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix failing retrieve_block_fuzz component ,IR-88,35959,,Bug,Closed,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,12/7/18 16:53,8/26/19 18:23,1/18/23 07:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,IR-86,IR-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzzhz:0hc,,,,,,Iroha Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix failing consensus_fuzz component ,IR-89,35960,,Bug,Closed,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,12/7/18 16:53,8/26/19 18:23,1/18/23 07:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,IR-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzzhz:0he,,,,,,Iroha Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix failing mst_fuzz component ,IR-90,35961,,Bug,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,neewy,12/7/18 16:53,3/27/20 18:01,1/18/23 07:00,12/25/18 20:27,,1.0 rc5,,0,fuzzing,,,,,,,,,,,,,,,,,,,,,,,,,,IR-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzzhz:0hg,,,,,,Iroha Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test new ordering service manually for any unexpected behavior,IR-91,35962,,Task,Complete,IR,Iroha,software,ekovalev,,,Highest,Done,lebdron,lebdron,neewy,12/7/18 17:23,8/26/19 18:23,1/18/23 07:00,12/13/18 18:09,,1.0 rc5,,0,,,,"As we are merging BFT Ordering Service into development branch we need to test its behavior manually for the following CFT scenarios:
# A transaction is sent to any peer and eventually it is written in blockstore
# When the first peer (in the order of their declaration in genesis block) is down — network keeps functioning and it still might process other transactions
# When one of the peers in 4 node network is down and then when it is relaunched eventually it becomes a proposal emitter (ordering service)

When we confirm that CFT scenarios above (and similar) work we can proceed with release candidate     ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-37,,,No,,,Unset,No,,,1|hzzzhz:0hh,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,13/Dec/18 6:08 PM;lebdron;Report: https://soramitsu.atlassian.net/wiki/spaces/IS/pages/835682305/Round-robin+ordering+service+testing;;;,,,,,,
Create network test cases for MST component,IR-92,35963,,Task,Complete,IR,Iroha,software,ekovalev,,,High,Done,igor-egorov,lebdron,neewy,12/7/18 17:25,8/26/19 18:23,1/18/23 07:00,12/26/18 21:16,,1.0 rc5,,0,,,,"We need to describe black-box test cases related to peer network interaction for soak tests. This task is to talk to maintainers, review client and peer API code and compose set of test cases with respect to vulnerabilities.  ",,,,,,,,,,,,,,,,,,,,,,,IR-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzzhz:0hhx,,,,,,Iroha Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create network test cases for Ordering Service/Gate component,IR-93,35964,,Task,Complete,IR,Iroha,software,ekovalev,,,High,Done,lebdron,lebdron,neewy,12/7/18 17:25,8/26/19 18:23,1/18/23 07:00,12/26/18 21:16,,1.0 rc5,,0,,,,"We need to describe black-box test cases related to peer network interaction for soak tests. This task is to talk to maintainers, review client and peer API code and compose set of test cases with respect to vulnerabilities.  ",,,,,,,,,,,,,,,,,,,,,,,IR-61,IR-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzzhz:0hhy,,,,,,Iroha Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create network test cases for BlockLoader/Syncronizer component,IR-94,35965,,Task,Complete,IR,Iroha,software,ekovalev,,,High,Done,igor-egorov,lebdron,neewy,12/7/18 17:25,8/26/19 18:23,1/18/23 07:00,12/26/18 21:16,,1.0 rc5,,0,,,,"We need to describe black-box test cases related to peer network interaction for soak tests. This task is to talk to maintainers, review client and peer API code and compose set of test cases with respect to vulnerabilities.  ",,,,,,,,,,,,,,,,,,,,,,,IR-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzzhz:0hhz,,,,,,Iroha Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rework YAC storage with last block commit outcome,IR-95,35966,,Task,Complete,IR,Iroha,software,ekovalev,,,High,Done,,lebdron,muratovv,12/7/18 17:27,8/26/19 20:28,1/18/23 07:00,6/3/19 16:02,,,,0,bug-fix,,,"Currently, if peer A sends vote with round \{3, 0} to peer B which currently in round \{5,2} then peer B sends back commit for round \{3, 0}. But the correct behaviour is to send commit for round \{5,2}. This change is required because of some reasons: peer B might don't have a supermajority of votes in storage, synchronization of the peer A will be faster because 

The task is to rework consensus: YAC and YAC storage with the corresponding behaviour.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-37,,,No,,,Unset,No,,,1|hzzzhz:000000i,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,11/Dec/18 12:21 AM;Mikhail_Boldyrev;https://github.com/hyperledger/iroha/pull/1931;;;,21/Jan/19 5:32 PM;neewy;We decided to put this work item back to backlog since it does not resolve consensus issue.;;;,03/Jun/19 4:02 PM;lebdron;Done in https://github.com/hyperledger-archives/iroha/pull/2139;;;,,,,
Make clean up of YAC storage,IR-96,35967,,Task,Complete,IR,Iroha,software,ekovalev,,,Highest,Done,,lebdron,muratovv,12/7/18 17:40,8/26/19 20:28,1/18/23 07:00,3/4/19 16:06,,1.0 rc5,,0,bug-fix,,,"Currently, YAC storage is an append-only structure which holds in-memory. This approach leads to memory overflow because ancients votes are stored here but not required anymore.

The task is to add a buffer for rounds which will remove old votes from YAC storage.

The buffer should be passed a dependency for vote_storage. Tests which checks for of buffer and new vote_storage are required.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-37,,,No,,,Unset,No,,,1|hzwref:,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,21/Jan/19 5:43 PM;neewy;Depends of https://github.com/hyperledger/iroha/pull/2026 definition of mock interfaces. We'll take this task out of the sprint;;;,,,,,,
Wrap spdlog into iroha::logger,IR-97,35968,,Task,Complete,IR,Iroha,software,ekovalev,,,Low,Done,Mikhail_Boldyrev,lebdron,muratovv,12/7/18 17:50,8/26/19 20:28,1/18/23 07:00,2/4/19 19:59,,1.0 rc5,,0,,,,"Currently, typical usage of the logger is to create an instance of spdlog and write to it directly. This approach leads to a limitation of API by spdlog.

The task is to create an extendable wrapper of logging and rework components with this class.",,,,,,,,,,,,,,,,,,IR-98,IR-99,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i0066n:,,,,Unset,Unset,Sprint I,Sprint II,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rework logging dependency in Iroha components,IR-98,35970,,Task,Complete,IR,Iroha,software,ekovalev,,,Low,Done,P.Kotov,lebdron,muratovv,12/7/18 18:03,8/26/19 20:28,1/18/23 07:00,12/26/18 16:38,,1.0 rc5,,0,,,,"Currently, a logger creates in-place in components. This approach is not so brilliant because there is no way to orchestrate logger objects in different components.

The task is to rework logger initialization in components with explicit passing.",,,,,,,,,,,,,,,IR-97,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i002a6:x,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,10/Dec/18 9:29 PM;neewy;It can be broken down into PRs with 300-500locs;;;,,,,,,
Make logger levels for components,IR-99,35971,,Task,Complete,IR,Iroha,software,ekovalev,,,Low,Done,Mikhail_Boldyrev,lebdron,muratovv,12/7/18 18:18,8/26/19 20:28,1/18/23 07:00,2/4/19 19:59,,1.0 rc5,,0,,,,"Currently, we have logger separation only by verbose level: debug, info, error and so on. But there is might be useful to create a semantic _set_. Those layers could be transport, consensus, MST, pipeline and so on. Each logger may be in different sets. For example, a logger of YAC network could be in consensus and transport sets simultaneously.

The task is to implement this functionality in iroha::logger.",,,,,,,,,,,,,,,IR-97,IR-140,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i0066f:,,,,Unset,Unset,Sprint I,Sprint II,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,"29/Dec/18 4:39 PM;Mikhail_Boldyrev;once we have a tree structure of loggers, we can set the components' log level with more granularity.;;;",,,,,,
Create network test cases for YAC/State consensus component,IR-100,35972,,Task,Complete,IR,Iroha,software,ekovalev,,,High,Done,muratovv,lebdron,neewy,12/7/18 18:52,8/26/19 18:23,1/18/23 07:00,1/11/19 17:53,,1.0 rc5,,0,,,,"We need to describe black-box test cases related to peer network interaction for soak tests. This task is to talk to maintainers, review client and peer API code and compose set of test cases with respect to vulnerabilities.  ",,,,,,,,,,,,,,,,,,,,,,,IR-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzzhz:0hhyi,,,,,,Iroha Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research how to write architecture docs to external documentation,IR-101,35975,,Task,Complete,IR,Iroha,software,ekovalev,,,High,Done,SaraG,lebdron,neewy,12/7/18 19:04,9/5/19 05:00,1/18/23 07:00,9/5/19 05:00,,,,0,,,,"A software architecture explains a program's fundamental structures, i.e., the program's major components, the relationships among them, and the key properties of these components and relationships. The project must include documentation of the architecture (aka high-level design) of the software produced by the project.

This might be done similarly to Sawtooth docs: https://sawtooth.hyperledger.org/docs/core/releases/latest/architecture.html

Please store editable files next to the docs so that we can actualize architectural docs later. Preferences are draw.io, visual paradigm, star uml.",,SaraG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-69,,,No,,,Unset,No,,,1|i002a6:s,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),SaraG,,,,,,,,,,,,,,,,,,,,,03/Sep/19 2:12 AM;SaraG;https://github.com/hyperledger/iroha/pull/80 + will add the original diagram into image assets folder ;;;,04/Sep/19 5:10 AM;SaraG;https://github.com/hyperledger/iroha/pull/241;;;,05/Sep/19 5:00 AM;SaraG;Merged;;;,,,,
Document security requirements in iroha.readthedocs.io,IR-102,35976,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,neewy,12/7/18 19:09,9/3/19 01:32,1/18/23 07:00,9/3/19 01:32,,,,0,,,,"The project must document what the user can and cannot expect in terms of security from the software produced by the project (its ""security requirements""). These are the security requirements that the software is intended to meet.

We need to write explicitly what users have to consider when they deploy, install and operate with the network. We can reuse contents of our threat model and explain mitigation strategies.",,SaraG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-69,,,No,,,Unset,No,,,1|hzzzhz:000002,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),SaraG,,,,,,,,,,,,,,,,,,,,,"01/Sep/19 3:08 AM;SaraG;Maybe we can try to add this to https://iroha.readthedocs.io/en/latest/guides/sec-install.html? 
Or should it be some other kind of a doc? ;;;",03/Sep/19 1:32 AM;SaraG;Done in https://github.com/hyperledger-archives/iroha/pull/2129;;;,,,,,
Remove ReferenceHolder from Command and rework Executor Tests,IR-103,35977,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,P.Kotov,P.Kotov,P.Kotov,12/7/18 19:15,4/1/19 20:53,1/18/23 07:01,12/19/18 16:17,,1.0 rc5,,0,,,,"As it appeared, reference holder cannot be removed from Command class in a simple, naive way, as both CommandExecutor and QueryExecutor tests depend on the ""clone"" method, which becomes unavailable after removing the holder. Thus, those tests are to be reworked in a way, so that
 # Commands are not actually built during execution of tests, but their mocks are used
 # Those mocks are to be set up with a special function, which uses ""EXPECT""-s macroses of Gtest to return necessary parameters",,P.Kotov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-71,,,No,,,Unset,No,,,1|i002a6:y,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),P.Kotov,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review and localize tests with undefined behavior,IR-104,35978,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,12/7/18 19:28,8/26/19 14:47,1/18/23 07:01,,,,,0,,,,"There are tests which have undefined behavior. We need to localize such tests and create extensive reports in JIRA bugs, that would allow us to plan fixed for undefined tests.

Hint: use parameters for multiple runs and combine this work with any other task.

 

AC:
check itf based tests which use sendTx with checking status. This method can cause UB.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0000004,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,"10/Dec/18 9:25 PM;neewy;if possible — run tests in arm powered device, like a raspberryPi;;;",,,,,,
Research project build variants with CMake,IR-105,35981,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,NikitaAlekseev,lebdron,muratovv,12/7/18 20:07,8/26/19 20:28,1/18/23 07:00,1/10/19 19:17,,1.0 rc5,,0,,,,"The task is to analyze other projects which use CMake to understand how to structure a project to achieve the following:
 * How to implement logical isolation of components
 * How to organize modules into libraries (library) for most efficient compilation
 * How to organize tests
 * Unity build? (check ripple)

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0htzzy,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix failing retrieve_blocks_fuzz component ,IR-106,35982,,Bug,Closed,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,12/7/18 21:17,8/26/19 18:23,1/18/23 07:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,IR-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzzhz:0hd,,,,,,Iroha Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conduct community meeting about client libraries,IR-107,35985,,Task,Closed,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,muratovv,12/7/18 22:24,8/26/19 20:28,1/18/23 07:00,,,,,0,,,,We want to create a meeting with the community about removing client libraries closer to 1.0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i0067r:,,,,Unset,Unset,Iroha Sprint 2,Sprint I,Sprint II,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,10/Dec/18 9:45 PM;neewy;During planning meeting we clarified that we want to tell everyone that we are not going to use SWIG;;;,"11/Jan/19 10:45 PM;neewy;Duplicate of https://jira.hyperledger.org/browse/IR-169
;;;",,,,,
Create a community meeting about changes in consensus,IR-108,35986,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,SaraG,lebdron,muratovv,12/7/18 22:26,8/26/19 20:28,1/18/23 07:00,12/17/18 22:29,,1.0 rc5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i0029o:,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,"14/Dec/18 7:28 PM;SaraG;The meeting will occur today, 4PM Moscow time.

Link is here: https://zoom.us/j/528865384;;;",,,,,,
Fix one consensus round with 5f+1 consistency model,IR-109,35987,,Task,Closed,IR,Iroha,software,ekovalev,,,Medium,,Mikhail_Boldyrev,lebdron,muratovv,12/7/18 22:32,8/26/19 20:28,1/18/23 07:00,,,,,0,consensus,,,Rework YAC with 5f + 1 schema which guarantees work in BFT-environment with one round.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i0029j:,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,11/Dec/18 1:23 AM;Mikhail_Boldyrev;https://github.com/hyperledger/iroha/pull/1932;;;,11/Jan/19 5:56 PM;neewy;Unfortunately this change does not resolve the original problem. This task and PR are going to be closed.;;;,,,,,
Fix inconsistent block creation at Simulator,IR-110,35988,,Bug,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,P.Kotov,lebdron,muratovv,12/7/18 22:51,8/26/19 20:28,1/18/23 07:00,12/13/18 22:33,,1.0 rc5,,0,,,,"Currently, simulator creates blocks from _unordered_set_ of rejected transactions. Of course, the order of transactions may be different.

The task is to fix the behavior with some ordered collection (ordered_set, vector or another).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0hgi,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move in-memory block storing as dependency,IR-111,35989,,Task,Complete,IR,Iroha,software,ekovalev,,,High,Done,,lebdron,muratovv,12/7/18 23:16,8/26/19 20:28,1/18/23 07:00,3/19/19 22:08,,1.0 rc5,,0,,,,"Currently, both processes: Iroha's initialization and synchronization require a chain of blocks for working. But the chain of blocks holds in memory the whole processing time. So it could be impossible to load a large amount of data which doesn't fit in RAM. With this task we want to create an explicit dependency which will use in-memory block storage.

The task is to rework initialization and block loading with explicit in-memory dependency",,,,,,,,,,,,,,,,,,IR-112,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00290:,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,25/Dec/18 4:01 PM;lebdron;Block container in MutableStorage has to be made a dependency first. It is possible that it will not be required to pass collection as dependency to initialization and block loader after this change.;;;,11/Jan/19 6:09 PM;neewy;https://github.com/hyperledger/iroha/pull/1994 this is a blocking PR for this task;;;,,,,,
