Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Release v0.9.0,CE-455,33402,,Epic,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,baohua,baohua,baohua,31/Aug/18 9:21 PM,14/Feb/19 8:47 PM,28/Oct/23 2:20 AM,14/Feb/19 8:47 PM,,,,,,,,,,0,,,,,,"Release v0.9.0

* Documentation ... Done.
* Bug fix .... Ongoing.
* Change log and feature description ... Todo.",,baohua,,,,,,,,,,,,,,,,,,,,,,CE-486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-1,,V0.9.0,To Do,No,,Unset,No,,,"1|hzzp3b:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fix bug when validate string,CE-456,33414,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,asaningmaxchain123,asaningmaxchain123,asaningmaxchain123,01/Sep/18 11:36 AM,21/Oct/18 3:42 PM,28/Oct/23 2:20 AM,21/Oct/18 3:42 PM,,,,,Cello-Core,,,,,0,,,,,,"in the common/StringValidator python,it should strip the input",,asaningmaxchain123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzxwvz:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),asaningmaxchain123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerate the process of releasing chain in Kubernetes agent,CE-457,33422,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,Luke_Chen,LordGoodman,LordGoodman,02/Sep/18 4:28 PM,22/Mar/19 10:06 PM,28/Oct/23 2:20 AM,22/Mar/19 10:06 PM,,,v1.0.0,,Cello-Agent,,,,,0,,,,,,"Currently, the releasing chain process will take long time since it will clean the resource first, after the agent confirms all resource has been eliminated then redeploy the resource. 
As HaiTao's advice, we can simply delete the peer's pod and relative volume and restart the pod, this should be able to save a lot of time",,LordGoodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzp67:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),LordGoodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refine delete cluster api for long time operations,CE-458,33423,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,02/Sep/18 7:44 PM,03/Sep/18 10:48 AM,28/Oct/23 2:20 AM,03/Sep/18 10:48 AM,,,v0.9.0,,,,,,,0,,,,,,"Move delete cluster into celery tasks, run  celery process in supervisor, can auto restart when crash.",,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzp6f:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"03/Sep/18 10:48 AM;hightall;https://gerrit.hyperledger.org/r/#/c/26041/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
docker should support proxy,CE-459,33430,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,asaningmaxchain123,asaningmaxchain123,asaningmaxchain123,03/Sep/18 12:28 PM,10/Sep/18 5:14 PM,28/Oct/23 2:20 AM,10/Sep/18 5:14 PM,,,,,Cello-Core,,,,,0,,,,,,"in chain,it's necessary for support porxy",,asaningmaxchain123,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzp7r:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),asaningmaxchain123,baohua,,,,,,,,"04/Sep/18 3:22 PM;baohua;https://gerrit.hyperledger.org/r/#/c/26048/;;;","04/Sep/18 3:23 PM;baohua;[~chenxuan], can u help elaborate the issue to address?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
make doc shouldn't bind the localhost,CE-460,33431,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,baohua,asaningmaxchain123,asaningmaxchain123,03/Sep/18 2:47 PM,02/Nov/18 9:26 PM,28/Oct/23 2:20 AM,02/Nov/18 9:26 PM,,,v0.9.0,,Cello-Doc,,,,,0,,,,,,"when execute the *make doc*  target,it bind the localhost. ",,asaningmaxchain123,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzp7z:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),asaningmaxchain123,baohua,,,,,,,,"21/Oct/18 3:47 PM;baohua;[~chenxuan] can you elaborate the reason why?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refine dockerhub latest dockerfile and prepare for v0.9.0,CE-461,33433,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,03/Sep/18 3:06 PM,04/Sep/18 5:12 PM,28/Oct/23 2:20 AM,04/Sep/18 5:12 PM,,,v0.9.0,,,,,,,0,,,,,,Refine dockerhub latest dockerfile and prepare for v0.9.0,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzp87:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"03/Sep/18 3:09 PM;hightall;https://gerrit.hyperledger.org/r/26050;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove fabric explorer docker in docker agent,CE-462,33449,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,04/Sep/18 5:13 PM,10/Sep/18 5:02 PM,28/Oct/23 2:20 AM,10/Sep/18 5:02 PM,,,v0.9.0,,Cello-Agent,,,,,0,,,,,,Remove fabric explorer docker in docker agent,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzpaf:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"06/Sep/18 2:08 PM;hightall;https://gerrit.hyperledger.org/r/26127;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One  exception thrown in src.modules.cluster.ClusterHandler#_create_cluster when creating a fabric-kafka-cluster ,CE-463,33458,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,luckydogchina,luckydogchina,luckydogchina,04/Sep/18 8:49 PM,11/Sep/18 4:28 PM,28/Oct/23 2:20 AM,11/Sep/18 4:28 PM,,,Future,,Cello-Dashboard,,,,,0,Must,,,,,"When  Operator created a fabric-kafka-cluster in k8s deployment, One exception was thrown , as follow:

_Exception in thread Thread-20:
Traceback (most recent call last):
  File ""/usr/lib/python3.5/threading.py"", line 914, in _bootstrap_inner
    self.run()
  File ""/usr/lib/python3.5/threading.py"", line 862, in run
    self._target(*self._args, **self._kwargs)
  File ""/home/whty0/hyperledger/cello/src/modules/cluster.py"", line 242, in _create_cluster
    port=int(v.split("":"")[1]),
ValueError: invalid literal for int() with base 10: 'None'_
","Python：3.5.2
K8s:  minikube  v0.28.1
cello branch : master
last commit: commit fefe906366d74677b2efaa82fadc22d9312dd930

",luckydogchina,,,,,,,"one fix branch ce-463 has been commited;05/Sep/18 11:46 AM;luckydogchina;10800",,,,,,,,,10800,,,,10800,,,,,,,,,,,,,,,,,,,,"04/Sep/18 8:49 PM;luckydogchina;2018-09-04 19-48-23屏幕截图.png;https://jira.hyperledger.org/secure/attachment/15771/2018-09-04+19-48-23%E5%B1%8F%E5%B9%95%E6%88%AA%E5%9B%BE.png",,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzpc7:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),luckydogchina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change crypto-config files for v1.2 and remove unused bak directory,CE-464,33497,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,05/Sep/18 2:00 PM,05/Sep/18 6:05 PM,28/Oct/23 2:20 AM,05/Sep/18 6:05 PM,,,v0.9.0,,,,,,,0,,,,,,Change sk file name for ca and admin keystone to special name.,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzpkn:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"05/Sep/18 2:03 PM;hightall;https://gerrit.hyperledger.org/r/26094;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repair genesis.block for fabric 1.2,CE-465,33503,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,05/Sep/18 6:19 PM,06/Sep/18 10:45 AM,28/Oct/23 2:20 AM,06/Sep/18 10:45 AM,,,v0.9.0,,,,,,,0,,,,,,Repair genesis.block for fabric 1.2,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzplj:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis block not found with creating fabric cluster of kafka consensus type,CE-466,33541,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,,LordGoodman,LordGoodman,06/Sep/18 4:22 PM,07/Sep/18 9:44 PM,28/Oct/23 2:20 AM,07/Sep/18 9:44 PM,,,,,,,,,,0,,,,,,"When creating Fabric cluster on Kubernetes agent with kafka consensus type, the orderer pod will throw out an error about ""genesis.block not found"", because the genesis block should call ""orderer.genesis.block"".",,LordGoodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzpr3:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),LordGoodman,,,,,,,,,"06/Sep/18 9:42 PM;LordGoodman;https://gerrit.hyperledger.org/r/#/c/26134/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unable to remove resource on NFS server ,CE-467,33546,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,LordGoodman,LordGoodman,LordGoodman,06/Sep/18 9:27 PM,03/Oct/18 5:33 PM,28/Oct/23 2:20 AM,03/Oct/18 5:33 PM,,,,,,,,,,0,,,,,,"Currently, the delete chain operation won't work when user try to delete chain with kafka consensus hosted by the Kubernetes agent, because the agent try to remove the resource folder before the pv has been deleted entirely, this patch add logic to ensure the folder removal will happen after the pv is deleted.",,LordGoodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzps7:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),LordGoodman,,,,,,,,,"18/Sep/18 8:48 PM;LordGoodman;https://gerrit.hyperledger.org/r/#/c/26366/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix envsubst in macOS,CE-468,33572,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,baohua,baohua,baohua,07/Sep/18 11:27 PM,10/Sep/18 5:02 PM,28/Oct/23 2:20 AM,10/Sep/18 5:02 PM,,,,,,,,,,0,,,,,,"When run `make restart` at macOS, it will report ""/bin/sh: envsubst: command not found"".


Solution:
* brew install gettext
* brew link gettext
* echo 'export PATH=""/usr/local/opt/gettext/bin:$PATH""' >> ~/.bash_profile",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzpw7:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,,,,,,,,,"10/Sep/18 5:02 PM;baohua;https://gerrit.hyperledger.org/r/26164;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release v0.9.0-alpha,CE-469,33600,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,09/Sep/18 10:23 PM,11/Sep/18 11:39 AM,28/Oct/23 2:20 AM,11/Sep/18 11:39 AM,,,,,,,,,,0,,,,,,Release v0.9.0-alpha,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq1r:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"10/Sep/18 4:02 PM;hightall;https://gerrit.hyperledger.org/r/#/c/26182/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix NFS start to port mapping,CE-470,33604,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,baohua,baohua,baohua,10/Sep/18 5:03 PM,10/Sep/18 10:11 PM,28/Oct/23 2:20 AM,10/Sep/18 10:11 PM,,,,,,,,,,0,,,,,,"Currently, the nfs uses a local host network, which is too broad.

We change it to port mapping.",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq2n:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,,,,,,,,,"10/Sep/18 5:10 PM;baohua;https://gerrit.hyperledger.org/r/26186;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Login dialogue in operator dashboard is too broad,CE-471,33605,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,baohua,baohua,10/Sep/18 5:10 PM,11/Oct/18 10:42 AM,28/Oct/23 2:20 AM,11/Oct/18 10:42 AM,,,,,User-Dashboard,,,,,0,,,,,,The login dialogue should be read friendly.,,baohua,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq2v:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,hightall,,,,,,,,"11/Oct/18 10:42 AM;hightall;https://gerrit.hyperledger.org/r/#/c/26599/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allow jump to chain info when click chain icon,CE-472,33606,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,baohua,baohua,10/Sep/18 5:15 PM,31/Oct/18 1:13 PM,28/Oct/23 2:20 AM,25/Sep/18 3:40 PM,,,,,User-Dashboard,,,,,0,,,,,,"Currently, in user dashboard, need to click the info icon, we should allow click to the chain block and jump to its info.",,baohua,hightall,modood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq33:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,hightall,modood,,,,,,,"25/Sep/18 2:46 PM;hightall;https://gerrit.hyperledger.org/r/26542;;;","23/Oct/18 4:47 PM;modood;Smart contract page should do the same,  and we should allow click to the title and jump to its info too.

https://gerrit.hyperledger.org/r/#/c/27155/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provide default input for example chaincode,CE-473,33607,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,baohua,baohua,10/Sep/18 5:16 PM,11/Sep/18 5:02 PM,28/Oct/23 2:20 AM,11/Sep/18 5:02 PM,,,,,User-Dashboard,,,,,0,,,,,,We should make the demo example quicker with providing default values in each input box.,,baohua,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq3b:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,hightall,,,,,,,,"11/Sep/18 4:07 PM;hightall;https://gerrit.hyperledger.org/r/26210;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabric 1.2 restart after applied in user dashboard,CE-474,33608,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,10/Sep/18 5:18 PM,05/Nov/18 11:04 AM,28/Oct/23 2:20 AM,05/Nov/18 11:04 AM,,,v0.9.0,,Cello-Agent,,,,,0,,,,,,"steps:
master node:
1. git clone  https://github.com/hyperledger/cello.git
2. cd cello && make start
docker worker node:
1. git clone  https://github.com/hyperledger/cello.git
2. cd cello && MASTER_NODE=10.112.80.119 make setup-worker
operator dashboard:
1. create fabric 1.2 chain in docker node
user dashboard:
1. apply fabric 1.2 chain
Then peer docker container will be restarted random
","ubuntu 16.04, docker 18.06.1-ce",hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/Sep/18 5:17 PM;hightall;屏幕快照 2018-09-10 下午4.12.42.png;https://jira.hyperledger.org/secure/attachment/15796/%E5%B1%8F%E5%B9%95%E5%BF%AB%E7%85%A7+2018-09-10+%E4%B8%8B%E5%8D%884.12.42.png","10/Sep/18 5:18 PM;hightall;屏幕快照 2018-09-10 下午4.18.07.png;https://jira.hyperledger.org/secure/attachment/15795/%E5%B1%8F%E5%B9%95%E5%BF%AB%E7%85%A7+2018-09-10+%E4%B8%8B%E5%8D%884.18.07.png",,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq3j:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop nfs when run `make stop`,CE-475,33609,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,baohua,baohua,baohua,10/Sep/18 5:36 PM,14/Feb/19 8:47 PM,28/Oct/23 2:20 AM,21/Oct/18 8:41 PM,,,,,Cello-Deployment,,,,,0,,,,,,"When run `make stop`, the nfs will keep on running.

Should stop nfs when run `make stop`.",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq3r:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,,,,,,,,,"10/Sep/18 5:38 PM;baohua;https://gerrit.hyperledger.org/r/26187;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansible agent should create yaml connection profile,CE-476,33642,,New Feature,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,tongliofcary,tongliofcary,tongliofcary,11/Sep/18 3:13 PM,09/Nov/18 9:51 PM,28/Oct/23 2:20 AM,12/Sep/18 4:11 PM,,,v0.9.0,,Cello-Agent,,,,,0,,,,,,"Ansible agent currently only create json connection profile. In some cases such as fabric go-sdk prefers the yaml connection profile. To satisfy that requirement,we should create same connection profile but in yaml format.",,tongliofcary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzqan:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),tongliofcary,,,,,,,,,"09/Nov/18 9:51 PM;tongliofcary;https://gerrit.hyperledger.org/r/#/c/26209/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
